# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1416251480;-1;73.83;0.00;18.04;0.02;0.00;8.11
axle;60;1416251480;0;75.21;0.00;18.80;0.05;0.00;5.94
axle;60;1416251480;1;71.18;0.00;19.25;0.03;0.00;9.53
axle;60;1416251480;2;75.77;0.00;16.19;0.05;0.00;7.99
axle;60;1416251480;3;69.73;0.00;21.53;0.03;0.00;8.71
axle;60;1416251480;4;77.17;0.00;16.49;0.02;0.00;6.32
axle;60;1416251480;5;87.25;0.00;10.85;0.00;0.00;1.90
axle;60;1416251480;6;66.24;0.00;22.50;0.02;0.00;11.24
axle;60;1416251480;7;85.40;0.00;11.06;0.00;0.00;3.54
axle;60;1416251480;8;71.93;0.00;16.55;0.02;0.00;11.51
axle;60;1416251480;9;68.84;0.00;20.84;0.02;0.00;10.30
axle;60;1416251480;10;73.08;0.00;17.13;0.02;0.00;9.77
axle;60;1416251480;11;70.24;0.00;20.98;0.02;0.00;8.76
axle;60;1416251480;12;66.04;0.00;22.18;0.02;0.00;11.77
axle;60;1416251480;13;83.08;0.00;13.04;0.00;0.00;3.88
axle;60;1416251480;14;71.92;0.00;19.59;0.03;0.00;8.46
axle;60;1416251480;15;68.11;0.00;21.73;0.03;0.00;10.13
axle;60;1416251540;-1;75.20;0.00;19.83;0.00;0.00;4.97
axle;60;1416251540;0;67.51;0.00;24.12;0.00;0.00;8.37
axle;60;1416251540;1;71.62;0.00;23.08;0.00;0.00;5.31
axle;60;1416251540;2;66.38;0.00;26.12;0.00;0.00;7.50
axle;60;1416251540;3;68.89;0.00;25.08;0.00;0.00;6.04
axle;60;1416251540;4;85.87;0.00;12.63;0.00;0.00;1.50
axle;60;1416251540;5;73.81;0.00;21.48;0.00;0.00;4.71
axle;60;1416251540;6;74.98;0.00;19.86;0.00;0.00;5.15
axle;60;1416251540;7;72.32;0.00;19.95;0.00;0.00;7.73
axle;60;1416251540;8;77.03;0.00;18.82;0.00;0.00;4.15
axle;60;1416251540;9;71.20;0.00;23.04;0.00;0.00;5.76
axle;60;1416251540;10;74.06;0.00;22.04;0.02;0.00;3.89
axle;60;1416251540;11;78.09;0.00;18.77;0.00;0.00;3.14
axle;60;1416251540;12;78.13;0.00;17.48;0.00;0.00;4.39
axle;60;1416251540;13;90.91;0.00;8.49;0.00;0.00;0.60
axle;60;1416251540;14;69.87;0.00;22.44;0.00;0.00;7.69
axle;60;1416251540;15;82.35;0.00;14.01;0.00;0.00;3.63
axle;60;1416251600;-1;72.44;0.00;22.85;0.00;0.00;4.72
axle;60;1416251600;0;62.72;0.00;30.26;0.00;0.00;7.02
axle;60;1416251600;1;67.37;0.00;27.06;0.00;0.00;5.56
axle;60;1416251600;2;79.45;0.00;17.15;0.00;0.00;3.41
axle;60;1416251600;3;71.25;0.00;25.28;0.00;0.00;3.47
axle;60;1416251600;4;70.57;0.00;23.83;0.00;0.00;5.59
axle;60;1416251600;5;69.00;0.00;24.99;0.00;0.00;6.01
axle;60;1416251600;6;67.10;0.00;27.24;0.00;0.00;5.67
axle;60;1416251600;7;83.53;0.00;14.52;0.00;0.00;1.95
axle;60;1416251600;8;70.62;0.00;23.65;0.00;0.00;5.73
axle;60;1416251600;9;71.91;0.00;22.52;0.00;0.00;5.57
axle;60;1416251600;10;74.56;0.00;20.89;0.00;0.00;4.55
axle;60;1416251600;11;79.67;0.00;17.54;0.00;0.00;2.79
axle;60;1416251600;12;73.94;0.00;22.28;0.00;0.00;3.78
axle;60;1416251600;13;75.63;0.00;20.73;0.00;0.00;3.64
axle;60;1416251600;14;70.24;0.00;24.71;0.00;0.00;5.05
axle;60;1416251600;15;71.37;0.00;22.95;0.00;0.00;5.68
axle;60;1416251660;-1;77.01;0.00;20.26;0.00;0.00;2.73
axle;60;1416251660;0;78.86;0.00;20.09;0.00;0.00;1.05
axle;60;1416251660;1;73.44;0.00;21.57;0.00;0.00;4.99
axle;60;1416251660;2;76.36;0.00;19.31;0.00;0.00;4.33
axle;60;1416251660;3;82.51;0.00;16.99;0.00;0.00;0.50
axle;60;1416251660;4;77.16;0.00;21.65;0.00;0.00;1.18
axle;60;1416251660;5;81.49;0.00;17.49;0.00;0.00;1.02
axle;60;1416251660;6;72.15;0.00;23.45;0.00;0.00;4.40
axle;60;1416251660;7;73.67;0.00;22.41;0.00;0.00;3.92
axle;60;1416251660;8;69.50;0.00;26.27;0.00;0.00;4.23
axle;60;1416251660;9;76.95;0.00;21.58;0.00;0.00;1.47
